ilan_no;kategori;fiyat;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;ilce;mahalle;url
94790-1192;Kiralık;43000;2 +                              1;103;2. Kat;3;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Eylül Gayrimenkul;2026/05/09;Çankaya;Öveçler Mah.;https://www.hepsiemlak.com/ankara-cankaya-ovecler-kiralik/daire/94790-1192
94790-1193;Kiralık;58000;4 +                              1;210;12. Kat;12;Kombi (Doğalgaz);Kat Mülkiyeti;1;14 Katlı;Evet;Boş;Eylül Gayrimenkul;2026/05/09;Gölbaşı;İncek Mah.;https://www.hepsiemlak.com/ankara-golbasi-incek-kiralik/daire/94790-1193
158391-20;Kiralık;36000;3 +                              1;90;3. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;-;2026/04/27;Gölbaşı;Taşpınar Mah.;https://www.hepsiemlak.com/ankara-golbasi-taspinar-kiralik/daire/158391-20
158391-19;Kiralık;21000;1 +                              1;50;2. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/04/28;Gölbaşı;İncek Mah.;https://www.hepsiemlak.com/ankara-golbasi-incek-kiralik/daire/158391-19
88892-1270;Kiralık;38000;1 +                              1;65;9. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;15 Katlı;Evet;Boş;Sönmez Emlak;2026/05/09;Yenimahalle;Yeni Batı Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-yeni-bati-kiralik/daire/88892-1270
69919-1409;Kiralık;24000;3 +                              1;135;Ara Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;-;2026/05/09;Mamak;Durali Alıç Mah.;https://www.hepsiemlak.com/ankara-mamak-durali-alic-kiralik/daire/69919-1409
53451-1829;Kiralık;35000;3 +                              1;125;1. Kat;26;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Yenimahalle Ada Emlak;2026/05/07;Yenimahalle;Ragıp Tüzün Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-ragip-tuzun-kiralik/daire/53451-1829
53451-1798;Kiralık;36000;3 +                              1;170;Teras Katı;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Yenimahalle Ada Emlak;2026/05/07;Yenimahalle;Yunus Emre Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-yunus-emre-kiralik/daire/53451-1798
73240-2831;Kiralık;26000;3 +                              1;120;3. Kat;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Kuttaş Emlak;2026/05/08;Çankaya;Eti Mah.;https://www.hepsiemlak.com/ankara-cankaya-eti-kiralik/daire/73240-2831
22444-15;Kiralık;110000;4 +                              1;220;9. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;23 Katlı;Evet;Boş;Serap Belen Invest;2026/05/08;Çankaya;Güzeltepe Mah.;https://www.hepsiemlak.com/ankara-cankaya-guzeltepe-kiralik/daire/22444-15
22444-14;Kiralık;235000;4 +                              2;313;4. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;7 Katlı;Evet;Boş;Serap Belen Invest;2026/05/08;Çankaya;Mutlukent Mah.;https://www.hepsiemlak.com/ankara-cankaya-mutlukent-kiralik/daire/22444-14
158970-1;Kiralık;59000;4 +                              1;205;12. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;14 Katlı;Evet;Boş;-;2026/05/07;Yenimahalle;Susuz Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-susuz-kiralik/daire/158970-1
158970-2;Kiralık;56000;4 +                              1;180;2. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;11 Katlı;Evet;Boş;-;2026/05/08;Yenimahalle;Ata Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-ata-kiralik/daire/158970-2
80912-473;Kiralık;28500;1 +                              1;55;1. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Saraçlar Gayrimenkul;2026/05/11;Çankaya;Mimar Sinan Mah.;https://www.hepsiemlak.com/ankara-cankaya-mimar-sinan-kiralik/daire/80912-473
5042-3654;Kiralık;42000;3 +                              1;125;1. Kat;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Turyap Ankara Bahçelievler Temsilciliği;2026/05/07;Çankaya;Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/5042-3654
0-45186944;Kiralık;17250;2 +                              1;115;Giriş Katı;14;Kombi (Doğalgaz);Kat Mülkiyeti;1;5 Katlı;Evet;Boş;-;2026/05/10;Sincan;Selçuklu Mah.;https://www.hepsiemlak.com/ankara-sincan-selcuklu-kiralik/daire/0-45186944
17626-47;Kiralık;92500;4 +                              1;220;21 ve üzeri;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;30 Katlı;Evet;Boş;Adel Investment Grup;2026/04/27;Çankaya;Beytepe Mah.;https://www.hepsiemlak.com/ankara-cankaya-beytepe-kiralik/daire/17626-47
